split,episode,t,DAM,BM,ref,side,q,delta,limit,cleared,reward
train,11,94,133.9199981689453,173.80999755859375,133.55999755859375,0,783.0,6.0,139.55999755859375,0,-312.3386952209473
train,11,95,168.0,177.58999633789062,183.69000244140625,0,643.4000244140625,-12.0,171.69000244140625,0,-61.70203877929598
val,11,0,254.10000610351562,167.88999938964844,249.22999572753906,1,118.4000015258789,-30.0,219.22999572753906,0,-102.07264926467906
val,11,1,313.57000732421875,222.5500030517578,237.92999267578125,0,429.3999938964844,-30.0,207.92999267578125,1,388.69289282104467
val,11,2,336.8699951171875,218.4499969482422,237.92999267578125,0,795.0999755859375,-30.0,207.92999267578125,1,937.5818766522221
val,11,3,367.0,351.42999267578125,254.8800048828125,0,873.5999755859375,-18.0,236.8800048828125,1,131.651580305174
val,11,4,321.3800048828125,368.54998779296875,284.739990234375,0,886.0999755859375,-18.0,266.739990234375,1,-422.4037069287151
val,11,5,315.0,323.70001220703125,282.5899963378906,0,890.0999755859375,-18.0,264.5899963378906,1,-81.88930640868843
val,11,6,295.17999267578125,272.55999755859375,275.0,0,883.9000244140625,-18.0,257.0,1,195.51864224120976
val,11,7,267.0,229.7899932861328,255.1699981689453,0,762.0,-18.0,237.1699981689453,1,279.730251159668
val,11,8,256.92999267578125,31.440000534057617,248.8000030517578,0,786.5999755859375,-18.0,230.8000030517578,1,1769.771223257601
val,11,9,256.92999267578125,196.02999877929688,246.88999938964844,0,751.0,-18.0,228.88999938964844,1,453.6039541625977
val,11,10,281.6000061035156,333.7300109863281,255.5,0,698.4000244140625,-18.0,237.5,1,-367.5679669506848
val,11,11,328.9800109863281,285.7699890136719,289.3399963378906,0,830.4000244140625,-18.0,271.3399963378906,1,354.66403288818896
val,11,12,367.0,374.0199890136719,335.9700012207031,0,907.5999755859375,-18.0,317.9700012207031,1,-68.25141845215111
val,11,13,361.20001220703125,192.55999755859375,355.7099914550781,0,912.0999755859375,-18.0,337.7099914550781,1,1533.6050325585902
val,11,14,346.7699890136719,242.8800048828125,355.70001220703125,0,883.2999877929688,-18.0,337.70001220703125,1,913.2437172070332
val,11,15,293.0,270.7699890136719,288.05999755859375,0,633.9000244140625,-30.0,258.05999755859375,1,137.74654494751246
val,11,16,251.6999969482422,162.60000610351562,261.0,0,343.5,-30.0,231.0,1,304.34096855163574
val,11,17,232.0,205.0800018310547,243.35000610351562,0,194.5,-30.0,213.35000610351562,1,51.38689643859863
val,11,18,219.0,205.3300018310547,237.25,0,235.60000610351562,-30.0,207.25,1,31.028516489868053
val,11,19,219.0,210.3300018310547,229.9199981689453,0,181.6999969482422,-30.0,199.9199981689453,1,14.844886423645075
val,11,20,215.0,215.9600067138672,226.5399932861328,0,314.3999938964844,-30.0,196.5399932861328,1,-4.590261019286699
val,11,21,212.33999633789062,180.11000061035156,225.22999572753906,0,257.0,-30.0,195.22999572753906,1,81.5460890197754
val,11,22,215.36000061035156,239.10000610351562,226.5399932861328,0,222.89999389648438,-30.0,196.5399932861328,1,-54.030970764770174
val,11,23,223.47999572753906,249.80999755859375,240.0,1,142.8000030517578,-30.0,210.0,0,37.599243418273986
val,11,24,262.0,186.57000732421875,254.10000610351562,0,2.5999999046325684,-30.0,224.10000610351562,1,1.948179738111503
val,11,25,320.79998779296875,324.489990234375,313.57000732421875,0,488.79998779296875,-18.0,295.57000732421875,1,-20.480731422118843
val,11,26,346.7699890136719,291.239990234375,336.8699951171875,0,757.5,-18.0,318.8699951171875,1,416.8522407531738
val,11,27,395.0,208.91000366210938,367.0,0,850.7000122070312,-18.0,349.0,1,1578.8141215014643
val,11,28,376.8999938964844,332.8599853515625,321.3800048828125,0,861.5,-18.0,303.3800048828125,1,375.09717361450197
val,11,29,350.5799865722656,351.92999267578125,315.0,0,827.4000244140625,-18.0,297.0,1,-15.306950952149927
val,11,30,337.3800048828125,264.5199890136719,295.17999267578125,0,799.0,-18.0,277.17999267578125,1,578.1565267944336
val,11,31,313.8999938964844,315.5299987792969,267.0,0,703.7000122070312,-18.0,249.0,1,-14.988844620361924
val,11,32,283.3299865722656,207.3699951171875,256.92999267578125,0,640.2999877929688,-18.0,238.92999267578125,1,483.1703160754405
val,11,33,281.7799987792969,207.85000610351562,256.92999267578125,0,612.2999877929688,-18.0,238.92999267578125,1,449.61183619018647
val,11,34,302.17999267578125,293.6499938964844,281.6000061035156,0,648.7999877929688,-18.0,263.6000061035156,1,52.09863109985366
val,11,35,329.8999938964844,383.2900085449219,328.9800109863281,0,750.5,-18.0,310.9800109863281,1,-404.44455993652343
